tsg;id_gene;gene_symbol;tissue_L1;tissue_L2;Z_L1;SNR_L1;SIGNAL_L1;NOISE_L1;ref_tissue_L1;REF_L1;SRR_L1;Z_L2;SNR_L2;SIGNAL_L2;NOISE_L2;ref_tissue_L2;REF_L2;SRR_L2
A1BG_liver;1.0;A1BG;liver;hepato_bilary;4.2;1.2;6.368033;5.179102;breast;0.702595;9.1;3.8;2.6;6.169557;2.328673;female_genital;1.033241;6.0
NAT2_liver;10.0;NAT2;liver;hepato_bilary;;;;;;;;4.1;4.7;4.308817;0.924606;female_genital;0.239467;18.0
SERPINA3_pancreas;12.0;SERPINA3;pancreas;pancreas;;;;;;;;2.8;1.6;8.554874;5.459026;female_genital;3.010725;2.8
AADAC_liver;13.0;AADAC;liver;hepato_bilary;;;;;;;;3.6;2.1;6.679672;3.182688;female_genital;0.753267;8.9
AANAT_testis;15.0;AANAT;testis;male_germinal;5.9;3.1;1.553297;0.497196;breast;0.069155;22.5;4.1;3.7;1.553297;0.418642;female_genital;0.083883;18.5
ABCA3_bronchus_lung;21.0;ABCA3;bronchus_lung;tracheo_broncho_lung;;;;;;;;3.0;1.7;6.113624;3.636899;female_genital;2.227681;2.7
ABCA4_kidney;24.0;ABCA4;kidney;urinary_kidney;5.6;3.2;1.760349;0.550912;breast;0.529767;3.3;;;;;;;
AOC1_placenta;26.0;AOC1;placenta;placenta;;;;;;;;3.8;2.4;7.156072;2.951576;female_genital;0.159062;45.0
ASIC2_brain;40.0;ASIC2;brain;neuro;5.5;2.0;2.017679;0.993038;breast;0.059;34.2;4.1;4.2;1.566272;0.371877;female_genital;0.320672;4.9
ASIC1_brain;41.0;ASIC1;brain;neuro;4.8;2.4;3.604061;1.475564;breast;1.049198;3.4;3.5;2.3;2.904852;1.28452;female_genital;1.018547;2.9
ACR_testis;49.0;ACR;testis;male_germinal;6.3;6.1;4.503858;0.734342;breast;0.295365;15.2;4.2;13.9;4.503858;0.324853;female_genital;0.324853;13.9
ACP3_prostate;55.0;ACP3;prostate;male_genital;5.0;2.7;9.107367;3.411219;breast;0.533453;17.1;3.8;2.9;9.107367;3.09847;female_genital;0.729004;12.5
ACRV1_testis;56.0;ACRV1;testis;male_germinal;6.4;11.7;4.769348;0.406287;breast;0.056749;84.0;4.2;15.4;4.769348;0.310223;female_genital;0.059584;80.0
ACTA1_muscles;58.0;ACTA1;muscles;heart_muscles;4.6;1.6;12.941922;7.957135;breast;1.169435;11.1;3.4;1.8;10.235458;5.712498;female_genital;0.931531;11.0
